Position,Hangul,IPA_Pronunciation,Word_Type,TOPIK_Level,Definition,Example_Sentence,Example_Sentence_IPA,Example_Sentence_Translation,Usage_Hint,Frequency,Frequency_Number,Verified,Quality_Score,HSK_Compliance,Processed,Reasoning_Tokens,Total_Tokens,O4_Error
341,그녀를,kɯ.njʌ.ɾɯl,pronoun,1,her,나는 그녀를 기다렸어요.,na.nɯn kɯ.njʌ.ɾɯl ki.ta.ɾjʌt̚.ʌ.jo,I waited for her.,"Uses the object particle -를 after 그녀 to mark 'her' as the object, common in standard Korean",341,1926,True,Clear and appropriate example showcasing common usage,False,True,832,1572,
342,몰라요,mol.ɾa.jo,verb,1,don't know,저는 그 사람을 몰라요.,tɕʌ.nɯn kɯ sa.ɾam.ɯl mol.ɾa.jo,I don't know that person.,"Polite present form of 모르다, common in daily conversation to express not knowing.",342,1921,True,Clear and accurate.,False,True,1600,2321,
343,작은,tɕak̚.ɯn,adjective,1,small,작은 고양이가 방 안을 돌아다닌다.,tɕak̚.ɯn ko.jaŋ.i.ka paŋ an.ɯl tol.a.ta.nin.ta,A small cat is strolling around the room.,Attributive form of 작다 used before nouns to describe size.,343,1920,True,Accurate and natural usage example.,False,True,576,1309,
344,혹시,hok̚.si,adverb,1,by any chance,혹시 내일 시간이 있으세요?,hok̚.si nɛ.il si.kan.i it̚.ɯ.se.jo,Do you by any chance have time tomorrow?,Used before questions to soften or preface polite requests,344,1911,True,Accurate and concise with clear usage context,False,True,1088,1813,
345,미안해요,mi.an.hɛ.jo,adjective,1,sorry,늦어서 미안해요.,nɯt̚.ʌ.sʌ mi.an.hɛ.jo,Sorry I'm late.,"Polite apology using the -요 ending; common in everyday conversation, less formal than 죄송합니다.",345,1897,True,Accurate; conveys mid-level politeness apology.,False,True,1408,2140,
346,나쁜,na.p͈ɯn,adjective,1,bad,그 남자는 나쁜 사람이야.,kɯ nam.tɕa.nɯn na.p͈ɯn sa.ɾam.i.ja,That man is a bad person.,"Attributive form of the adjective 나쁘다, used before nouns to describe quality in everyday speech and writing.",346,1896,True,Accurate and clear entry,False,True,832,1562,
347,죄송해요,tɕwe.soŋ.hɛ.jo,adjective,1,sorry,미팅에 늦어서 죄송해요.,mi.tʰiŋ.e nɯt̚.ʌ.sʌ tɕwe.soŋ.hɛ.jo,I'm sorry for being late to the meeting.,Polite apology in everyday formal or polite contexts.,347,1891,True,Accurate analysis of common usage.,False,True,768,1504,
348,모르겠어,mo.ɾɯ.ket̚.ʌ,verb,1,don't know,이 문제가 너무 어려워서 답을 모르겠어.,i mun.tɕe.ka nʌ.mu ʌ.ɾjʌ.wʌ.sʌ tap̚.ɯl mo.ɾɯ.ket̚.ʌ,This problem is so difficult that I don't know the answer.,Casual speech for expressing lack of knowledge or understanding in present tense,348,1891,True,Accurate and reliable analysis,False,True,1024,1768,
349,가요,ka.jo,verb,1,go,저는 학교에 가요.,tɕʌ.nɯn hak̚.kjo.e ka.jo,I go to school.,"Present tense polite form of 가다 (to go), used in everyday speech.",349,1888,True,"Accurate and concise, reflecting the most common usage.",False,True,1088,1804,
350,알지,al.tɕi,verb,1,you know,이 노래 알지?,i no.ɾɛ al.tɕi,"You know this song, right?","Casual speech ending used to seek confirmation, contraction of the verb 'to know' and particle 'ji'.",350,1867,True,Accurate representation of colloquial usage,False,True,1408,2136,
351,밖에,pak̚.e,particle,1,only,저는 천 원밖에 없어요.,tɕʌ.nɯn tɕʰʌn wʌn.pak̚.e ʌp̚.ʌ.jo,"I only have 1,000 won.",Used with negative verbs to indicate 'only' or 'nothing except'.,351,1860,True,High-frequency particle essential for expressing exclusivity in everyday Korean.,False,True,1088,1812,
352,직접,tɕik̚.tɕʌp̚,adverb,2,directly,직접 해 보세요.,tɕik̚.tɕʌp̚ hɛ po.se.jo,Please try it yourself.,Adverb indicating that the action is done personally or without intermediary; used before verbs in both casual and formal contexts.,352,1856,True,"Clear, accurate definition and usage; high-frequency adverb.",False,True,960,1706,
353,있나,it̚.na,verb,1,exist,내 방에 책이 있나?,nɛ paŋ.e tɕʰɛk̚.i it̚.na,Is there a book in my room?,Informal interrogative form with -나 expressing wonder; common in casual speech,353,1855,True,Clear explanation and example for casual question form,False,True,1408,2130,
354,니,ni,pronoun,1,your,니 책 어디에 있어?,ni tɕʰɛk̚ ʌ.ti.e it̚.ʌ,Where is your book?,"Colloquial possessive pronoun, contraction of neoui used in casual speech among peers",354,1848,True,Clear and accurate usage in casual context,False,True,1408,2120,
355,해도,hɛ.to,particle,1,even if,공부해도 어려워요.,koŋ.pu.hɛ.to ʌ.ɾjʌ.wʌ.jo,"Even if I study, it's difficult.","Subordinate conjunction meaning 'even if', attaches to verb/adjective stems, commonly used in casual and formal contexts.",355,1847,True,"Accurate grammatical entry for the connective -어도, with a clear example and correct IPA.",False,True,1728,2464,
356,하죠,ha.tɕjo,verb,1,let's do,그렇게 하죠.,kɯ.ɾʌt̚.ke ha.tɕjo,Let's do it that way.,Used as polite present tense ending of 하다 to make suggestions or confirm actions in spoken Korean.,356,1841,True,Accurate analysis with appropriate example and usage for TOPIK level 1.,False,True,1344,2072,
357,했는데,hɛt̚.nɯn.te,verb,1,but,어제 시험 공부를 열심히 했는데 잘 못 봤어요.,ʌ.tɕe si.hʌm koŋ.pu.ɾɯl jʌl.sim.hi hɛt̚.nɯn.te tɕal mot̚ pwat̚.ʌ.jo,"I studied hard for the exam yesterday, but I didn't do well.","Connective ending after past tense verb expressing contrast or unexpected outcome, common in spoken and informal writing",357,1827,True,High quality: clear definition and accurate usage context,False,True,1024,1774,
358,필요해,pʰil.jo.hɛ,adjective,1,need,나 지금 시간이 필요해.,na tɕi.kɯm si.kan.i pʰil.jo.hɛ,I need time right now.,"Used in informal casual speech as the present tense form of the adjective meaning 'to be necessary', common among friends.",358,1826,True,Accurate classification and clear usage with a natural example sentence.,False,True,1408,2143,
359,아니요,a.ni.jo,adverb,1,no,"아니요, 괜찮습니다.",a.ni.jo kwɛn.tɕʰan.sɯp̚.ni.ta,"No, I'm fine.",Polite negative response in formal or polite speech,359,1825,True,Accurate and appropriate for polite refusal,False,True,1152,1866,
360,적이,tɕʌk̚.i,noun,1,enemy,그는 나의 적이 아니다.,kɯ.nɯn na.ɰi tɕʌk̚.i a.ni.ta,He is not my enemy.,Used with the subject marker in neutral style to denote 'enemy'.,360,1807,True,High-quality; accurate and clear.,False,True,1280,2004,
361,있나요,it̚.na.jo,verb,1,to exist,여기에 화장실이 있나요?,jʌ.ki.e hwa.tɕaŋ.sil.i it̚.na.jo,Is there a restroom here?,"Polite interrogative form of the verb 있다, used to ask if something exists or if someone has something in formal or neutral contexts",361,1802,True,Accurate and clear,False,True,1088,1821,
362,갖고,kat̚.ko,verb,1,have,저는 열쇠를 갖고 있어요.,tɕʌ.nɯn jʌl.swe.ɾɯl kat̚.ko it̚.ʌ.jo,I have the key.,"Colloquial contraction of the connective form of the verb 'to have', used to indicate possession or connect clauses",362,1801,True,Accurate and clear analysis,False,True,1152,1880,
363,돈을,ton.ɯl,noun,1,money,돈을 주세요.,ton.ɯl tɕu.se.jo,Please give me money.,"Object form of the noun '돈' (money), used with verbs like 주다 or 벌다 to indicate money as the object",363,1798,True,Accurate definition and common usage example,False,True,640,1364,
364,주세요,tɕu.se.jo,verb,1,please give me,물을 주세요.,mul.ɯl tɕu.se.jo,Please give me water.,"Polite imperative to request giving something, common in service and daily situations",364,1795,True,Accurate and appropriate usage,False,True,1280,1994,
365,어디서,ʌ.ti.sʌ,adverb,1,where,어디서 왔어요?,ʌ.ti.sʌ wat̚.ʌ.jo,Where did you come from?,Used as an interrogative adverb to ask about the location or origin of an action; commonly used in questions,365,1783,True,Clear and accurate analysis,False,True,1216,1945,
366,것이,kʌt̚.i,noun,1,thing,그것이 무엇이에요?,kɯ.kʌt̚.i mu.ʌt̚.i.e.jo,What is that?,"Used as 'thing' with the subject particle, often paired with demonstrative pronouns (this, that).",366,1774,True,Clear and appropriate for beginner learners,False,True,1664,2390,
367,거요,kʌ.jo,noun,1,thing,이거요?,i.kʌ.jo,This one?,"Combination of the noun geo meaning thing and the polite ending yo, used to refer politely to an unspecified object, often in questions",367,1769,True,"Clear and concise, with a relevant example",False,True,2688,3413,
368,위한,wi.han,verb,1,for,건강을 위한 운동이 중요하다.,kʌn.kaŋ.ɯl wi.han un.toŋ.i tɕuŋ.jo.ha.ta,Exercise for health is important.,"Used after a noun with the object marker to mean 'for', common in both spoken and written Korean",368,1759,True,Accurate and reflects the most common usage,False,True,1408,2128,
369,것은,kʌt̚.ɯn,noun,1,thing,공부하는 것은 중요하다.,koŋ.pu.ha.nɯn kʌt̚.ɯn tɕuŋ.jo.ha.ta,Studying is important.,"Topic marker attached to the noun 것 to nominalize clauses or verbs, meaning 'as for the thing' or 'the act of', common in both spoken and written Korean.",369,1756,True,Clear and commonly used construction,False,True,1088,1830,
370,없이,ʌp̚.i,adverb,1,without,설탕 없이 커피를 마셨어요.,sʌl.tʰaŋ ʌp̚.i kʰʌ.pʰi.ɾɯl ma.sjʌt̚.ʌ.jo,I drank coffee without sugar.,Adverbial form of 없다 used after nouns to indicate absence; common in everyday speech and writing.,370,1756,True,Clear and accurate usage example appropriate for TOPIK Level 1 learners.,False,True,1024,1758,
371,나중에,na.tɕuŋ.e,adverb,1,later,나중에 다시 연락할게요.,na.tɕuŋ.e ta.si jʌn.ɾak̚.hal.ke.jo,I’ll contact you again later.,Used as a time adverb meaning 'later'; neutral formality suitable for both spoken and written Korean.,371,1752,True,Accurate definition and example showing natural usage.,False,True,704,1439,
372,아버지,a.pʌ.tɕi,noun,1,father,제 아버지는 의사입니다.,tɕe a.pʌ.tɕi.nɯn ɰi.sa.ip̚.ni.ta,My father is a doctor.,"Formal noun for one's father, used in polite or honorific contexts.",372,1743,True,"Clear, accurate usage of a high-frequency noun.",False,True,1216,1943,
373,나랑,na.ɾaŋ,particle,1,with me,나랑 같이 영화 보러 갈래?,na.ɾaŋ kat̚.i jʌŋ.hwa po.ɾʌ kal.ɾɛ,Do you want to go watch a movie with me?,"Informal speech, contraction of first person pronoun and the particle meaning 'with', used to express 'with me' among friends.",373,1742,True,Clear and concise.,False,True,1152,1889,
374,됐어요,twɛt̚.ʌ.jo,verb,1,okay,이제 됐어요.,i.tɕe twɛt̚.ʌ.jo,That's enough now.,"Polite past tense of 되다, used to indicate sufficiency or to accept/decline an offer meaning 'okay' or 'enough'.",374,1736,True,Accurate definition and usage context for a common conversational expression.,False,True,1216,1960,
375,마세요,ma.se.jo,verb,1,don't,거기 가지 마세요.,kʌ.ki ka.tɕi ma.se.jo,Please don't go there.,Polite negative imperative form used after verb stem + -지 to prohibit actions,375,1735,True,Accurate and clear analysis,False,True,1152,1866,
376,차,tɕʰa,noun,1,car,차가 막혔어요.,tɕʰa.ka mak̚.hjʌt̚.ʌ.jo,The car is stuck in traffic.,"Common Sino-Korean noun for automobile used in daily conversation, often used alone or in vehicle-related compounds",376,1717,True,Accurate and concise entry with appropriate usage example,False,True,1344,2070,
377,언제,ʌn.tɕe,adverb,1,when,수업은 언제 시작해요?,su.ʌp̚.ɯn ʌn.tɕe si.tɕak̚.hɛ.jo,When does the class start?,Used as an interrogative adverb to ask about time in everyday speech and writing. Often combined with polite verb endings like -요.,377,1717,True,Clear and accurate definition and usage.,False,True,896,1631,
378,그저,kɯ.tɕʌ,adverb,1,just,나는 그저 너를 사랑해.,na.nɯn kɯ.tɕʌ nʌ.ɾɯl sa.ɾaŋ.hɛ,I just love you.,Used as an adverb meaning 'just' or 'simply' in neutral or formal contexts.,378,1715,True,Accurate identification of word type and meaning with appropriate example.,False,True,1024,1757,
379,생각,sɛŋ.kak̚,noun,1,thought,네가 말한 것은 좋은 생각이에요.,ne.ka mal.han kʌt̚.ɯn tɕot̚.ɯn sɛŋ.kak̚.i.e.jo,What you said is a good idea.,"Used as a noun meaning 'thought' or 'idea', common in both spoken and written Korean; often combined with adjectives like 'good idea' or with the verb 'to think'.",379,1711,True,Accurate entry capturing the most common usage.,False,True,1216,1965,
380,했지,hɛt̚.tɕi,verb,1,did,숙제 다 했지?,suk̚.tɕe ta hɛt̚.tɕi,"You finished all your homework, right?",Informal past tense of 하다 with -지 ending used to confirm or seek agreement in casual speech,380,1709,True,Common and idiomatic spoken usage,False,True,1088,1821,
381,봤어,pwat̚.ʌ,verb,1,saw,어제 그 영화를 봤어.,ʌ.tɕe kɯ jʌŋ.hwa.ɾɯl pwat̚.ʌ,I saw that movie yesterday.,Informal past tense of 보다 used in casual speech,381,1704,True,Accurately identifies informal past-tense usage,False,True,704,1428,
382,해서,hɛ.sʌ,verb,1,so,너무 피곤해서 일찍 잤어요.,nʌ.mu pʰi.kon.hɛ.sʌ il.tɕ͈ik̚ tɕat̚.ʌ.jo,"I was so tired, so I went to bed early.",Causal connective form of 하다 indicating cause and result; common in spoken and written Korean.,382,1704,True,Accurate IPA and definition; appropriate usage context provided.,False,True,1088,1820,
383,시간을,si.kan.ɯl,noun,1,time,조금만 시간을 내 주세요.,tɕo.kɯm.man si.kan.ɯl nɛ tɕu.se.jo,Please make some time.,"Object form of 시간 (time) with the object particle 를, used in expressions like 시간을 내다 or 시간을 보내다.",383,1699,True,Accurate entry with correct IPA and usage example.,False,True,896,1628,
384,마지막,ma.tɕi.mak̚,noun,1,last,마지막 열차가 출발했다.,ma.tɕi.mak̚ jʌl.tɕʰa.ka tɕʰul.pal.hɛt̚.ta,The last train has departed.,Used before nouns to indicate the final item in a sequence; common in both spoken and written Korean,384,1688,True,Accurate analysis with appropriate examples,False,True,1088,1817,
385,알겠어,al.ket̚.ʌ,verb,1,understand,"네, 알겠어.",ne al.ket̚.ʌ,"Okay, I understand.",Informal casual speech level used to acknowledge understanding among peers,385,1686,True,Accurate and guideline-compliant,False,True,1536,2256,
386,왜냐면,wɛ.nja.mjʌn,particle,1,because,왜냐면 너무 피곤했거든요.,wɛ.nja.mjʌn nʌ.mu pʰi.kon.hɛt̚.kʌ.tɯn.jo,Because I was so tired.,Casual spoken conjunction introducing a reason; used in informal conversations.,386,1679,True,Accurate common usage for conversational contexts.,False,True,1152,1881,
387,위해서,wi.hɛ.sʌ,particle,2,for,당신을 위해서 이 노래를 불렀어요.,taŋ.sin.ɯl wi.hɛ.sʌ i no.ɾɛ.ɾɯl pul.ɾʌt̚.ʌ.jo,I sang this song for you.,"Used after nouns or pronouns to indicate purpose or benefit (for), common in spoken and written Korean",387,1674,True,"Accurate and natural usage, common in everyday Korean",False,True,960,1695,
388,엄청,ʌm.tɕʰʌŋ,adverb,2,very,이 음식 엄청 맛있어요.,i ɯm.sik̚ ʌm.tɕʰʌŋ mat̚.it̚.ʌ.jo,This food is very delicious.,Used as an adverb to intensify adjectives or verbs to mean 'very' or 'extremely' in both formal and informal contexts.,388,1669,True,Accurate and complete entry based on common usage in contemporary Korean.,False,True,1088,1838,
389,알겠습니다,al.ket̚.sɯp̚.ni.ta,verb,1,understand,"네, 알겠습니다.",ne al.ket̚.sɯp̚.ni.ta,"Yes, I understand.",Formal polite response indicating understanding or agreement in polite speech,389,1665,True,Accurate and common usage representation,False,True,1024,1756,
390,오래,o.ɾɛ,adverb,1,long time,오래 기다렸어요.,o.ɾɛ ki.ta.ɾjʌt̚.ʌ.jo,I waited for a long time.,"Used as an adverb to indicate a long duration, common in both spoken and written Korean.",390,1664,True,Definition and example accurately reflect the common adverb usage.,False,True,960,1684,
391,기다려,ki.ta.ɾjʌ,verb,1,wait,잠깐만 기다려.,tɕam.k͈an.man ki.ta.ɾjʌ,Wait a moment.,Informal imperative form used in casual speech to command someone to wait,391,1657,True,Corrected word type and provided clear usage context,False,True,1344,2066,
392,아닙니다,a.nip̚.ni.ta,verb,1,not be,저는 학생이 아닙니다.,tɕʌ.nɯn hak̚.sɛŋ.i a.nip̚.ni.ta,I am not a student.,"Formal polite negative copula of 이다, used in formal speech and writing",392,1648,True,Clear and accurate,False,True,1280,2006,
393,있는지,it̚.nɯn.tɕi,verb,2,whether there is,회의실에 사람이 있는지 알아봐 주세요.,hwe.ɰi.sil.e sa.ɾam.i it̚.nɯn.tɕi al.a.pwa tɕu.se.jo,Please check whether there are people in the meeting room.,"Clause ending indicating uncertainty or indirect question, used in both spoken and written contexts.",393,1640,True,Clear definition and appropriate example.,False,True,1088,1826,
394,알겠어요,al.ket̚.ʌ.jo,verb,1,understand,"네, 알겠어요.",ne al.ket̚.ʌ.jo,"Yes, I understand.",Polite non-past declarative form expressing understanding in polite contexts,394,1634,True,Standard polite form used to indicate comprehension,False,True,960,1687,
395,제일,tɕe.il,adverb,1,most,이 영화가 제일 재미있어요.,i jʌŋ.hwa.ka tɕe.il tɕɛ.mi.it̚.ʌ.jo,This movie is the most interesting.,"Used as a superlative adverb meaning 'most', interchangeable with 가장 in both casual and formal speech",395,1633,True,Accurate and concise,False,True,960,1685,
396,지난,tɕi.nan,adjective,1,last,지난 주말에 친구를 만났어요.,tɕi.nan tɕu.mal.e tɕʰin.ku.ɾɯl man.nat̚.ʌ.jo,I met my friend last weekend.,"Used before time expressions to mean 'last', works as a prenominal adjective.",396,1621,True,High quality and accurate representation of common usage,False,True,960,1682,
397,그렇죠,kɯ.ɾʌt̚.tɕjo,particle,1,right?,"이게 네가 찾던 책이야, 그렇죠?",i.ke ne.ka tɕʰat̚.tʌn tɕʰɛk̚.i.ja kɯ.ɾʌt̚.tɕjo,"This is the book you were looking for, right?",Used as a polite tag question to seek confirmation or agreement in neutral speech,397,1619,True,Clear and concise particle entry with appropriate example,False,True,1216,1968,
398,죽은,tɕuk̚.ɯn,adjective,1,dead,나는 죽은 나비를 발견했다.,na.nɯn tɕuk̚.ɯn na.pi.ɾɯl pal.kjʌn.hɛt̚.ta,I found a dead butterfly.,Attributive form of verb '죽다' used before nouns to describe something that is dead in neutral contexts.,398,1617,True,Clear definition and example; appropriate usage.,False,True,1024,1762,
399,제대로,tɕe.tɛ.ɾo,adverb,1,properly,숙제를 제대로 했어요.,suk̚.tɕe.ɾɯl tɕe.tɛ.ɾo hɛt̚.ʌ.jo,I did my homework properly.,Used as an adverb to indicate doing something correctly; common in both casual and formal speech.,399,1616,True,"Accurate entry with correct IPA, part of speech, and common usage.",False,True,1088,1827,
400,아니지,a.ni.tɕi,verb,1,no,그건 아니지.,kɯ.kʌn a.ni.tɕi,That's not it.,Casual conversational negation used to disagree or correct statements,400,1615,True,Clear and common usage in informal speech,False,True,1216,1930,
401,있다면,it̚.ta.mjʌn,verb,2,if there is,시간이 있다면 같이 영화 보러 가요.,si.kan.i it̚.ta.mjʌn kat̚.i jʌŋ.hwa po.ɾʌ ka.jo,"If you have time, let's go see a movie together.","Conditional form of 있다 + -다면, used to express 'if there is' in polite context",401,1599,True,Accurate and clear,False,True,896,1635,
402,보면,po.mjʌn,verb,1,if see,이 사진을 보면 기분이 좋아져요.,i sa.tɕin.ɯl po.mjʌn ki.pun.i tɕot̚.a.tɕjʌ.jo,"If I see this photo, I feel better.","Conditional ending '-면' attached to verb stem to mean 'if/when', common in casual and formal speech",402,1595,True,Accurate and concise definition,False,True,1280,2012,
403,우리를,u.ɾi.ɾɯl,pronoun,1,us,그들은 우리를 도왔다.,kɯ.tɯl.ɯn u.ɾi.ɾɯl to.wat̚.ta,They helped us.,"Objective form of 'we' with the object particle, neutral in formality and common in all speech levels.",403,1594,True,Accurate and comprehensive entry.,False,True,960,1693,
404,짓을,tɕit̚.ɯl,noun,1,act,그 아이가 한 짓을 용서할 수 없다.,kɯ a.i.ka han tɕit̚.ɯl joŋ.sʌ.hal su ʌp̚.ta,I cannot forgive what that child did.,"Used with 하다 to denote a deed or action, often with a negative assessment",404,1593,False,Form is inflected noun+object marker; analysis based on noun 짓 meaning 'act',False,True,1536,2287,
405,남자,nam.tɕa,noun,1,man,저 남자는 학생이에요.,tɕʌ nam.tɕa.nɯn hak̚.sɛŋ.i.e.jo,That man is a student.,"Basic noun for adult male, neutral form used in formal and informal contexts.",405,1589,True,Accurate and concise definition and examples.,False,True,960,1679,
406,너가,nʌ.ka,pronoun,1,you,너가 최고야.,nʌ.ka tɕʰwe.ko.ja,You are the best.,Informal subject form of 너 (you) used in casual conversation,406,1588,True,Accurate and natural usage,False,True,704,1418,
407,있다는,it̚.ta.nɯn,verb,1,to have,내 여자친구가 있다는 사실을 아무도 몰랐다.,nɛ jʌ.tɕa.tɕʰin.ku.ka it̚.ta.nɯn sa.sil.ɯl a.mu.to mol.ɾat̚.ta,No one knew that I had a girlfriend.,Used as the attributive form of '있다' to introduce subordinate clauses describing existence or possession,407,1587,True,Accurate and concise analysis of attributive form usage,False,True,1728,2468,
408,누구,nu.ku,pronoun,1,who,이 사람은 누구예요?,i sa.ɾam.ɯn nu.ku.je.jo,Who is this person?,"Used as an interrogative pronoun meaning 'who' in questions, often with particles like -이/가 or in polite forms like 누구예요",408,1578,True,"High-frequency interrogative pronoun, commonly used in everyday speech",False,True,832,1565,
409,보여,po.jʌ,verb,1,be visible,저기 산이 잘 보여,tɕʌ.ki san.i tɕal po.jʌ,I can see the mountain clearly,Informal plain speech present form of 보이다 to indicate visibility,409,1575,True,Accurate and concise,False,True,1280,1990,
410,왔어요,wat̚.ʌ.jo,verb,1,came,어제 집에 왔어요.,ʌ.tɕe tɕip̚.e wat̚.ʌ.jo,I came home yesterday.,"Polite past tense of 오다 (to come), used in everyday conversation to report arrival.",410,1574,True,"Clear and accurate, appropriate politeness level",False,True,832,1560,
411,너한테,nʌ.han.tʰe,particle,1,to you,나는 너한테 말했어.,na.nɯn nʌ.han.tʰe mal.hɛt̚.ʌ,I told you.,Colloquial dative marker 'to you' used in informal speech,411,1569,True,Accurate and natural usage example,False,True,576,1302,
412,여러분,jʌ.ɾʌ.pun,pronoun,1,everyone,"여러분, 준비되었나요?",jʌ.ɾʌ.pun tɕun.pi.twe.ʌt̚.na.jo,"Everyone, are you ready?",Used to address a group politely in speeches or announcements,412,1566,True,Accurate and clear analysis,False,True,960,1685,
413,완전히,wan.tɕʌn.hi,adverb,2,completely,저는 그 일을 완전히 잊었어요.,tɕʌ.nɯn kɯ il.ɯl wan.tɕʌn.hi it̚.ʌt̚.ʌ.jo,I have completely forgotten about that.,Used to indicate that an action or state is carried out to the fullest extent; common in both spoken and written Korean,413,1561,True,Comprehensive and accurate linguistic analysis,False,True,832,1574,
414,너의,nʌ.ɰi,pronoun,1,your,너의 이름이 뭐야?,nʌ.ɰi i.ɾɯm.i mwʌ.ja,What's your name?,Informal possessive pronoun used in casual speech among friends or younger people,414,1560,True,Clear and accurate,False,True,832,1551,
415,것이다,kʌt̚.i.ta,verb,1,will,나는 내일 서울에 갈 것이다.,na.nɯn nɛ.il sʌ.ul.e kal kʌt̚.i.ta,I will go to Seoul tomorrow.,Used to indicate future tense or strong assumption in formal or written contexts; casual equivalent is ~ㄹ 거예요.,415,1560,True,Clear and accurate entry with a suitable example and usage note.,False,True,1152,1892,
416,밤,pam,noun,1,night,나는 어제 밤에 영화를 봤다.,na.nɯn ʌ.tɕe pam.e jʌŋ.hwa.ɾɯl pwat̚.ta,I watched a movie last night.,"Used to indicate the time from dusk to dawn, often with the particle -에 (밤에).",416,1558,True,Clear and natural usage in context.,False,True,896,1613,
417,소리,so.ɾi,noun,1,sound,바람 소리가 들린다.,pa.ɾam so.ɾi.ka tɯl.ɾin.ta,I can hear the sound of the wind.,Common noun meaning 'sound'; used in both formal and informal contexts; often appears in expressions like 소리가 나다 (to make a sound).,417,1553,True,"Entry is clear and accurate, with a suitable example.",False,True,768,1507,
418,없지,ʌp̚.tɕi,verb,1,there isn't,요즘은 돈이 없지.,jo.tɕɯm.ɯn ton.i ʌp̚.tɕi,I don't have any money these days.,"Casual spoken form of 없다 with the -지 ending, used to assert or confirm lack or non-existence in informal contexts.",418,1548,True,Clear and accurate entry suitable for TOPIK level 1 learners.,False,True,1472,2218,
419,벌써,pʌl.s͈ʌ,adverb,1,already,나는 벌써 밥을 먹었어.,na.nɯn pʌl.s͈ʌ pap̚.ɯl mʌk̚.ʌt̚.ʌ,I already ate.,Used as an adverb to indicate that something happened earlier than expected,419,1546,True,Clear and accurate common usage,False,True,512,1236,
420,모르겠어요,mo.ɾɯ.ket̚.ʌ.jo,verb,1,don't know,이 문제를 모르겠어요.,i mun.tɕe.ɾɯl mo.ɾɯ.ket̚.ʌ.jo,I don't know this problem.,Common polite expression to say 'I don't know' in everyday conversation.,420,1541,True,Entry is accurate with correct IPA and contextual usage.,False,True,1024,1765,
421,말이지,mal.i.tɕi,particle,2,you know,그거 말이지 정말 대단했어.,kɯ.kʌ mal.i.tɕi tɕʌŋ.mal tɛ.tan.hɛt̚.ʌ,"That thing, you know, was really amazing.","Contraction of 말이다 + -지, used colloquially after a noun or clause to mean 'you know', common in informal speech",421,1538,True,Clear and accurate description of usage,False,True,1408,2148,
422,올,ol,noun,6,this,올 가을에는 책을 많이 읽었어요.,ol ka.ɯl.e.nɯn tɕʰɛk̚.ɯl man.i ik̚.ʌt̚.ʌ.jo,I read many books this fall.,Bound noun prefix (Sino-Korean) used before time nouns to mean 'this'; common in written or formal speech,422,1536,False,"Low confidence, as this usage is somewhat limited compared to alternative expression 이번",False,True,1664,2393,
423,사람들을,sa.ɾam.tɯl.ɯl,noun,1,people,나는 사람들을 도와주고 싶다.,na.nɯn sa.ɾam.tɯl.ɯl to.wa.tɕu.ko sip̚.ta,I want to help people.,"Accusative plural form of 'saramdeul', used to mark people as the direct object in a sentence",423,1534,True,High quality; natural and accurate use of the accusative particle,False,True,1152,1902,
424,처음,tɕʰʌ.ɯm,noun,1,first time,처음에는 많이 어색했어요.,tɕʰʌ.ɯm.e.nɯn man.i ʌ.sɛk̚.hɛt̚.ʌ.jo,It was very awkward at first.,"Used as a noun meaning 'first time', often in phrases like '처음에는' to indicate at first.",424,1534,True,Accurate and commonly used noun.,False,True,512,1250,
425,말이죠,mal.i.tɕjo,particle,4,you know,"제가 어제 말이죠, 회의에 조금 늦었어요.",tɕe.ka ʌ.tɕe mal.i.tɕjo hwe.ɰi.e tɕo.kɯm nɯt̚.ʌt̚.ʌ.jo,"You know, I was a bit late to the meeting yesterday.",Used as a polite discourse marker to introduce or emphasize a point in conversation,425,1532,True,Clear explanation; accurately captures usage,False,True,1152,1894,
426,사람들,sa.ɾam.tɯl,noun,1,people,사람들이 많이 모였어요.,sa.ɾam.tɯl.i man.i mo.jʌt̚.ʌ.jo,Many people gathered.,Used as the regular plural form of 사람 to indicate multiple individuals in neutral contexts.,426,1529,True,Clear and accurate analysis.,False,True,704,1426,
427,그녀의,kɯ.njʌ.ɰi,pronoun,1,her,그녀의 이름은 민지예요.,kɯ.njʌ.ɰi i.ɾɯm.ɯn min.tɕi.je.jo,Her name is Minji.,"Possessive pronoun indicating ownership by third-person feminine, used in formal and informal contexts",427,1524,True,Accurate and clear.,False,True,768,1502,
428,멋진,mʌt̚.tɕin,adjective,1,cool,오늘 멋진 옷을 입었네요.,o.nɯl mʌt̚.tɕin ot̚.ɯl ip̚.ʌt̚.ne.jo,You're wearing a cool outfit today.,Attributive adjective used before nouns to describe stylishness,428,1523,True,Accurate and natural usage,False,True,768,1498,
429,왜요,wɛ.jo,adverb,1,why,왜요?,wɛ.jo,Why?,"Polite question form of the adverb 왜, used in formal and polite spoken Korean",429,1521,True,"Clear, accurate entry with appropriate example",False,True,1024,1737,
430,정말로,tɕʌŋ.mal.ɾo,adverb,1,really,정말로 고마워요.,tɕʌŋ.mal.ɾo ko.ma.wʌ.jo,Thank you so much.,"Adverbial intensifier used to emphasize sincerity or degree, common in both spoken and written Korean.",430,1511,True,Accurate analysis with correct IPA and usage context.,False,True,1024,1761,
